name,main_category,overarching_category,rating,reviews,normalized_value,city,latitude,longitude,address
Universal Studios Hollywood,Theme park,Entertainment/Amusement Park,4.6,153543,706297.8,Los-angeles,34.13812,-118.35338,"Universal Studios Hollywood, 100 Universal City Plaza, Universal City, CA 91608"
Santa Monica Pier,Fishing pier,Entertainment/Amusement Park,4.6,115353,530623.8,Los-angeles,34.0,-118.5,"Downtown Santa Monica, Santa Monica, Los Angeles County, California, 90401, United States"
Griffith Park,Park,Park/Scenic Spots,4.7,66813,314021.1,Los-angeles,34.13655,-118.2942,"Griffith Park, Los Angeles, CA 90027"
Universal CityWalk Hollywood,Shopping mall,Shopping,4.6,62698,288410.8,Los-angeles,34.13615,-118.35372,"5531, Citywalk Footway, Universal City, Los Angeles County, California, 91608, United States"
Hollywood Walk of Fame,Historical landmark,Landmark,4.0,47526,190104.0,Los-angeles,34.1017,-118.33368,"Hollywood Walk of Fame, 6901 Hollywood Blvd, Los Angeles, CA 90028"
The Getty,Art museum,Museum,4.8,30800,147840.0,Los-angeles,34.01945,-118.474205,"The Getty, 1200 Getty Center Dr, Los Angeles, CA 90049"
Los Angeles Zoo,Zoo,Zoo,4.4,19161,84308.4,Los-angeles,34.14861,-118.28403,"Los Angeles Zoo, 5333 Zoo Dr, Los Angeles, CA 90027"
Los Angeles County Museum of Art,Art museum,Museum,4.6,18655,85813.0,Los-angeles,34.06393,-118.35923,"Los Angeles County Museum of Art, 5905 Wilshire Blvd, Los Angeles, CA 90036"
California Science Center,Science museum,Museum,4.7,17819,83749.3,Los-angeles,34.01587,-118.28611,"California Science Center, 700, Exposition Park Drive, Exposition Park, Los Angeles County, California, 90037, United States"
Hollywood Bowl,Amphitheater,Entertainment/Amusement Park,4.7,16208,76177.6,Los-angeles,34.11279,-118.33924,"The BOWL Store, Odin Path, Whitley Heights Historic District, Los Angeles County, California, 90068, United States"
The Broad,Modern art museum,Museum,4.7,14751,69329.7,Los-angeles,34.05447,-118.25056,"The Broad Museum, 221, South Grand Avenue, Bunker Hill, Downtown, Los Angeles County, California, 90012, United States"
Griffith Observatory,Observatory,Museum,4.7,13406,63008.2,Los-angeles,34.11862,-118.30035,"Griffith Observatory, 2800 E Observatory Rd, Los Angeles, CA 90027"
La Brea Tar Pits and Museum,Museum,Museum,4.6,13219,60807.4,Los-angeles,34.063847,-118.356522,"La Brea Tar Pits and Museum, 5801 Wilshire Blvd, Los Angeles, CA 90036"
Natural History Museum of Los Angeles County,Natural history museum,Museum,4.8,11780,56544.0,Los-angeles,34.01696,-118.28877,"Natural History Museum of Los Angeles County, 900, Exposition Boulevard, Exposition Park, Los Angeles County, California, 90007, United States"
"Public Art ""Urban Light""",Cultural landmark,Landmark,4.6,10808,49716.8,Los-angeles,34.062988,-118.359276,"Los Angeles County Museum of Art, Smidt Welcome Plaza, Miracle Mile, Mid-Wilshire, Los Angeles County, California, 90036, United States"
Hollywood Sign,Historical landmark,Landmark,4.6,10448,48060.8,Los-angeles,34.13412,-118.32155,"Hollywood Sign, Los Angeles, CA 90068"
The Getty Villa,Art museum,Museum,4.8,10015,48072.0,Los-angeles,34.078018,-118.4742,"The Getty Villa, 17985 Pacific Coast Hwy, Pacific Palisades, CA 90272"
Hollywood Walk of Fame,Tourist attraction,Landmark,4.2,8161,34276.2,Los-angeles,34.1017,-118.33368,"Hollywood Walk of Fame, 6901 Hollywood Blvd, Los Angeles, CA 90028"
The Wizarding World of Harry Potter,Theme park,Entertainment/Amusement Park,4.7,8152,38314.4,Los-angeles,34.138194,-118.35323,"The Wizarding World of Harry Potter, 100 Universal City Plaza, Universal City, CA 91608"
Universal Studio Tour,Amusement park ride,Entertainment/Amusement Park,4.7,7936,37299.2,Los-angeles,34.13812,-118.35338,"Universal Studios Hollywood, 100, Sheraton Drive, Universal City, Los Angeles County, California, 91608, United States"
Palisades Park,Park,Park/Scenic Spots,4.7,7557,35517.9,Los-angeles,34.0214,-118.50702,"Palisades Park, Ocean Ave, Santa Monica, CA 90401"
Runyon Canyon Park,Park,Park/Scenic Spots,4.8,5244,25171.2,Los-angeles,34.11029,-118.35036,"Runyon Canyon Park, 2000 N Fuller Ave, Los Angeles, CA 90046"
Hollywood Wax Museum,Wax museum,Museum,4.4,4330,19052.0,Los-angeles,34.1016,-118.338,"Hollywood Wax Museum, 6767 Hollywood Blvd, Los Angeles, CA 90028"
Paramount Pictures Studio Tour,Tourist attraction,Entertainment/Amusement Park,4.5,3830,17235.0,Los-angeles,34.083794,-118.32101,"Paramount Pictures Studio Tour, 5515 Melrose Ave, Los Angeles, CA 90038"
Warner Bros. Studio Tour Hollywood,Tourist attraction,Entertainment/Amusement Park,4.5,3647,16411.5,Los-angeles,34.151137,-118.33586,"Warner Bros. Studio Tour Hollywood, 3400 Warner Blvd, Burbank, CA 91505"
Greystone Mansion & Gardens: The Doheny Estate,Historical landmark,Landmark,4.6,2777,12774.2,Los-angeles,34.09194,-118.40167,"Greystone Mansion & Gardens: The Doheny Estate, 905 Loma Vista Dr, Beverly Hills, CA 90210"
World of Illusions Los Angeles,Museum,Museum,4.1,2635,10803.5,Los-angeles,34.1017,-118.3376,"World of Illusions Los Angeles, 6751 Hollywood Blvd, Los Angeles, CA 90028"
Angels Flight Railway,Historical landmark,Landmark,4.5,2575,11587.5,Los-angeles,34.05134,-118.25022,"Angels Flight Railway, 351 S Hill St, Los Angeles, CA 90013"
"Vista Hermosa Natural Park, Mountains Recreation & Conservation Authority",Park,Park/Scenic Spots,4.7,2287,10748.9,Los-angeles,34.06172,-118.257047,"Vista Hermosa Natural Park, Mountains Recreation & Conservation Authority, 100 N Toluca St, Los Angeles, CA 90026"
Travel Town Railroad,Museum,Museum,4.7,2158,10142.6,Los-angeles,34.91673,-118.182749,"Travel Town Railroad, 5200 Zoo Dr, Los Angeles, CA 90027"
Space Shuttle Endeavour,Science museum,Museum,4.9,2139,10481.1,Los-angeles,34.0156,-118.2866,"Exposition Park, Los Angeles County, California, 90089, United States"
GRAMMY Museum L.A. Live,Museum,Museum,4.4,2110,9284.0,Los-angeles,34.044736,-118.264549,"GRAMMY Museum L.A. Live, 800 W Olympic Blvd, Los Angeles, CA 90015"
Museum of Tolerance,History museum,Museum,4.6,1952,8979.2,Los-angeles,34.05362,-118.40147,"Museum of Tolerance, 9786 W Pico Blvd, Los Angeles, CA 90035"
Bradbury Building,Historical landmark,Landmark,4.5,1934,8703.0,Los-angeles,34.05057,-118.24785,"Bradbury Building, 304 S Broadway, Los Angeles, CA 90013"
Autry Museum of the American West,Museum,Museum,4.6,1872,8611.2,Los-angeles,34.14858,-118.28127,"Autry Museum of the American West, Griffith Park, 4700 Western Heritage Way, Los Angeles, CA 90027"
Ripley's Believe It or Not!,Tourist attraction,Entertainment/Amusement Park,4.2,1853,7782.6,Los-angeles,40.75639,-73.98831,"Ripley's Believe It or Not!, 6780 Hollywood Blvd, Hollywood, CA 90028"
Japanese American National Museum,Museum,Museum,4.7,1728,8121.6,Los-angeles,34.04945,-118.23879,"Japanese American National Museum, 100 N Central Ave, Los Angeles, CA 90012"
Original Muscle Beach Santa Monica,Historical landmark,Landmark,4.6,1649,7585.4,Los-angeles,34.008443,-118.4946,"Original Muscle Beach Santa Monica, Ocean Front Walk, Santa Monica, CA 90401"
Old Los Angeles Zoo,Zoo,Zoo,4.6,1317,6058.2,Los-angeles,34.13397,-118.288494,"Old Los Angeles Zoo, 4801 Griffith Park Dr, Los Angeles, CA 90027"
Universal City Overlook,Scenic spot,Park/Scenic Spots,4.7,1254,5893.8,Los-angeles,34.141354,-118.3529,"Universal City Overlook, 7701 Mulholland Dr, Los Angeles, CA 90046"
Fisherman's Village,Tourist attraction,Landmark,4.4,1218,5359.2,Los-angeles,33.973834,-118.44569,"Fisherman's Village, 13755 Fiji Way, Marina Del Rey, CA 90292"
Griffith Park & Southern Railroad,Amusement park,Entertainment/Amusement Park,4.6,1188,5464.8,Los-angeles,34.136555,-118.2942,"Griffith Park & Southern Railroad, 4400 Crystal Springs Dr, Los Angeles, CA 90027"
Medieval Torture Museum,Museum,Museum,4.9,1134,5556.6,Los-angeles,34.1015,-118.3372,"Medieval Torture Museum, 6757 Hollywood Blvd, Los Angeles, CA 90028"
The Hollywood Museum,Museum,Museum,4.3,1070,4601.0,Los-angeles,34.10108,-118.33831,"The Hollywood Museum, 1660 Highland Ave, Hollywood, CA 90028"
Capitol Records Building,Historical landmark,Landmark,4.6,913,4199.8,Los-angeles,34.103085,-118.326189,"Capitol Records Building, 1750 Vine St, Los Angeles, CA 90028"
Grand Hope Park,Park,Park/Scenic Spots,4.4,856,3766.4,Los-angeles,34.0445,-118.2605,"Grand Hope Park, 919 S Grand Ave, Los Angeles, CA 90015"
Heritage Square Museum,Heritage museum,Museum,4.7,681,3200.7,Los-angeles,34.088138,-118.2083,"Heritage Square Museum, 3800 Homer St, Los Angeles, CA 90031"
Travel Town Gift Shop,Gift shop,Shopping,4.6,672,3091.2,Los-angeles,34.154835,-118.30801,"Travel Town Museum, 5200, Zoo Drive, Los Feliz Neighborhood Council District, Los Angeles County, California, 90027, United States"
Downtown Los Angeles Art Walk,Arts organization,Landmark,4.4,462,2032.8,Los-angeles,34.044727,-118.24928,"Pacific Electric Lofts, 610, South Main Street, Gallery Row, Downtown, Los Angeles County, California, 90014, United States"
The Great Wall of Los Angeles,Cultural landmark,Landmark,4.6,462,2125.2,Los-angeles,34.179084,-118.413782,"Coldwater Canyon Avenue, Valley Glen, Greater Valley Glen Neighborhood Council District, Los Angeles County, California, 91607, United States"
Hollyhock House,Historical landmark,Landmark,4.5,454,2043.0,Los-angeles,34.10176,-118.29514,"Hollyhock House, 4800 Hollywood Blvd, Los Angeles, CA 90027"
Mulholland Scenic Overlook,Scenic spot,Park/Scenic Spots,4.7,453,2129.1,Los-angeles,34.1285,-118.4056,"Mulholland Scenic Overlook, 8591 Mulholland Dr, Los Angeles, CA 90046"
Bronson Caves,Tourist attraction,Park/Scenic Spots,4.5,450,2025.0,Los-angeles,34.12133,-118.31434,"Bronson Caves, 3200 Canyon Dr, Los Angeles, CA 90068"
Harry Potter and the Forbidden Journey,Amusement park ride,Entertainment/Amusement Park,4.7,382,1795.4,Los-angeles,34.138352,-118.35383,"5450, USH Upper Lot Walkways, Universal City, Los Angeles County, California, 91608, United States"
The Wende Museum,Museum,Museum,4.7,300,1410.0,Los-angeles,34.011647,-118.403932,"The Wende Museum, 10808 Culver Blvd, Culver City, CA 90230"
The Walk Of Fun Hollywood,Tourist attraction,Landmark,5.0,296,1480.0,Los-angeles,34.101639,-118.32678,"The Walk Of Fun Hollywood, In front of CapitalOne cafe, 6801 Hollywood Blvd, Los Angeles, CA 90028"
The Fowler Museum,Art museum,Museum,4.6,268,1232.8,Los-angeles,34.072922,-118.44315,"The Fowler Museum, 308 Charles E Young Dr N, Los Angeles, CA 90024"
Holocaust Museum LA,Museum,Museum,4.6,228,1048.8,Los-angeles,34.074609,-118.35623,"Los Angeles Museum of the Holocaust, The Grove Drive, The Grove, Fairfax, Los Angeles County, California, 90036, United States"
Wrigley Mansion,Historical landmark,Landmark,4.8,195,936.0,Los-angeles,33.522705,-112.026,"Wrigley Mansion, 391 S Orange Grove Blvd, Pasadena, CA 91184"
826LA & The Echo Park Time Travel Mart,Non-profit organization,Shopping,4.5,168,756.0,Los-angeles,34.0781,-118.2606,"1914, West Sunset Boulevard, Echo Park, Los Angeles County, California, 90026, United States"
Walt Disney's Carolwood Barn,Rail museum,Museum,4.8,164,787.2,Los-angeles,34.15513,-118.30171,"LA Live Steamers, 5202, Zoo Drive, Los Feliz Neighborhood Council District, Los Angeles County, California, 90027, United States"
Ride like a star,Tourist attraction,Entertainment/Amusement Park,4.9,139,681.1,Los-angeles,34.1015,-118.3387,"Ride like a star, 6808 Hollywood Blvd, Los Angeles, CA 90028"
Crossroads of the World,Historical landmark,Landmark,4.1,96,393.6,Los-angeles,34.0981889,-118.3356306,"Crossroads of the World, 6671 Sunset Blvd, Los Angeles, CA 90028"
Hollywood Heritage Museum,Museum,Museum,4.5,91,409.5,Los-angeles,34.10833,-118.33667,"Hollywood Heritage Museum, 2100 Highland Ave, Los Angeles, CA 90068"
Hollywood Bowl Museum,Museum,Museum,4.6,57,262.2,Los-angeles,34.11171,-118.33711,"Hollywood Bowl Museum, 2301 Highland Ave, Los Angeles, CA 90068"
Library Steps / Bunker Hill Steps,Cultural landmark,Landmark,4.3,55,236.5,Los-angeles,34.0513389,-118.2502111,"Angels Flight, South Olive Street, California Plaza, Downtown, Los Angeles County, California, 90071, United States"
"Public Art ""Triforium""",Cultural landmark,Landmark,4.0,44,176.0,Los-angeles,34.054135,-118.241129,"Triforium, East Temple Street, Civic Center, Chinatown, Los Angeles County, California, 90012, United States"
INDIAN ALLEY,Historical landmark,Landmark,4.1,33,135.3,Los-angeles,34.04711,-118.24747,"Canadian Building, 432, South Main Street, Gallery Row, Downtown, Los Angeles County, California, 90013, United States"
Raptor Encounter,Tourist attraction,Entertainment/Amusement Park,4.5,31,139.5,Los-angeles,34.1402,-118.3565,"Universal Studios Hollywood, 100, Sheraton Drive, Universal City, Los Angeles County, California, 91608, United States"
Hollywood Peak,Park,Park/Scenic Spots,5.0,22,110.0,Los-angeles,34.12815,-118.30118,"Palm & Succulent Garden Path, Los Feliz Neighborhood Council District, Los Angeles County, California, 90027, United States"
America Tropical Interpretive Center,History museum,Museum,4.5,17,76.5,Los-angeles,34.057917,-118.23778,"Italian Hall, Olvera Street, Pueblo de Los Ángeles Historical Monument, Chinatown, Los Angeles County, California, 90012, United States"
Sepulveda House Museum,Museum,Museum,4.8,13,62.4,Los-angeles,33.67306,-117.93694,"Mesa Verde, Costa Mesa, Orange County, California, 92626, United States"
Scavenger Hunt Walking Tours - Los Angeles Union Station,Tourist attraction,Entertainment/Amusement Park,4.0,4,16.0,Los-angeles,34.0562,-118.2365,"Union Station, 800, North Alameda Street, New Chinatown, Chinatown, Los Angeles County, California, 90012, United States"
"Public Art ""Aquarius""",Tourist attraction,Entertainment/Amusement Park,4.7,3,14.1,Los-angeles,34.053444,-118.256639,"South Figueroa Street, Bunker Hill, Downtown, Los Angeles County, California, 90071, United States"
Sights L.A.,Tourist attraction,Entertainment/Amusement Park,5.0,2,10.0,Los-angeles,34.052235,-118.243683,"Los Angeles Police Department Headquarters, Broad Plaza, Civic Center, Downtown, Los Angeles County, California, 90013, United States"
Venice Boardwalk,Scenic spot,Park/Scenic Spots,4.6,1095,5037.0,Los-angeles,33.9771,-118.467575,"Venice Boardwalk, Beach pavillion in, Los Angeles, CA"
Guinness World Records Museum,Tourist attraction,Museum,3.8,508,1930.4,Los-angeles,34.101715,-118.338226,"Walk of Fame, Yucca Corridor, Hollywood, Los Angeles County, California, 90028, United States"
Arthur J. Will Memorial Fountain,Fountain,Landmark,4.7,320,1504.0,Los-angeles,34.056744,-118.24728,"Arthur J. Will Memorial Fountain, Olive Court, Civic Center, Downtown, Los Angeles County, California, 99039, United States"
The Golden Triangle,Tourist attraction,Landmark,4.7,221,1038.7,Los-angeles,34.07362,-118.400352,"The Golden Triangle, 9800 Wilshire Blvd, Beverly Hills, CA 90212"
Inverted Fountain,Fountain,Landmark,4.6,130,598.0,Los-angeles,34.0701,-118.4408,"Inverted Fountain, Charles E. Young Drive East, Westwood, Los Angeles County, California, 90095, United States"
Kyoto Garden,Park,Park/Scenic Spots,4.4,118,519.2,Los-angeles,34.050167,-118.242833,"Kyoto Garden, DoubleTree by Hilton Hotel Los Angeles Downtown, Los Angeles, CA 90012"
Kenneth Hahn View Point,Tourist attraction,Park/Scenic Spots,4.9,83,406.7,Los-angeles,34.007832,-118.364166,"Kenneth Hahn View Point, Los Angeles, CA 90008"
Neverland,Tourist attraction,Landmark,4.5,61,274.5,Los-angeles,34.74107,-120.09158,"Neverland, Los Angeles Neverland, Los Angeles, CA 90012"
You Are The Star,Tourist attraction,Landmark,4.5,34,153.0,Los-angeles,34.101639,-118.326782,"Katsuya Hollywood, 6300, Hollywood Boulevard, Whitley Heights Historic District, Hollywood, Los Angeles County, California, 90028, United States"
View,Vista point,Park/Scenic Spots,4.7,32,150.4,Los-angeles,34.052235,-118.243683,"Los Angeles Police Department Headquarters, Broad Plaza, Civic Center, Downtown, Los Angeles County, California, 90013, United States"
Hoover Walk,Tourist attraction,Park/Scenic Spots,4.3,23,98.9,Los-angeles,34.1017,-118.284,"North Hoover Street, Los Feliz Neighborhood Council District, Los Angeles County, California, 90227, United States"
Neon Lights Tunnel @ Weller Court,Tourist attraction,Landmark,2.3,12,27.6,Los-angeles,34.050015,-118.242474,"Weller Court, East 2nd Street, Little Tokyo, Downtown, Los Angeles County, California, 90013, United States"
Chinatown Wishing Well,Tourist attraction,Landmark,3.9,11,42.9,Los-angeles,34.0656,-118.2375,"Mei Ling Way, Chinatown Central Plaza, Chinatown, Los Angeles County, California, 99039, United States"
City National Plaza Fountain,Tourist attraction,Landmark,4.7,6,28.2,Los-angeles,34.051086,-118.257132,"South Flower Street, Financial District, Downtown, Los Angeles County, California, 90007, United States"
DTLA Arts District,Tourist attraction,Landmark,4.4,5,22.0,Los-angeles,34.044727,-118.249283,"Pacific Electric Lofts, 610, South Main Street, Gallery Row, Downtown, Los Angeles County, California, 90014, United States"
HOLLYWOOD'S VILLAGE (A magical village hidden in LA),Tourist attraction,Landmark,2.8,5,14.0,Los-angeles,34.098907,-118.327759,"1547, Morningside Court, Hollywood, Los Angeles County, California, 90028, United States"
